Reference, Value, Footprint, Datasheet, DigiKey P/N, URL, Man P/N, Description, Price, Cost, TLP291, Digikey P/N,
U7,AT90CAN128-A,Housings_QFP:TQFP-64_14x14mm_Pitch0.8mm,,AT90CAN128-16AURCT-ND,https://www.digikey.com/product-detail/en/microchip-technology/AT90CAN128-16AUR/AT90CAN128-16AURCT-ND/3789383,AT90CAN128-16AUR,IC MCU 8BIT 128KB FLASH 64TQFP,7.66,,,,
Y1,10MHz,custom_footprints:crystal_TXC_7A,,887-1741-1-ND,https://www.digikey.com/products/en?pv7=2&k=7A-10.000MAAE-T&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=25,7A-10.000MAAE-T,CRYSTAL 10.0000MHZ 12PF SMD,0.66,,,,
C6,10p,Capacitors_SMD:C_0805_HandSoldering,,399-1108-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C100J5GACTU/399-1108-1-ND/411383,C0805C100J5GACTU,CAP CER 10PF 50V NP0 0805,0.1,,,,
U12,TLP293,Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm,,TLP293(GB-TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GB-TPL,"TLP293(GB-TPL,E",OPTOISOLATOR 3.75KV TRANS 4-SO,0.52,,,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP291(GB-TP,SE/TLP291(GB-TPSECT-ND/4562949
U11,TLP293,Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm,,TLP293(GB-TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GB-TPL,"TLP293(GB-TPL,E",OPTOISOLATOR 3.75KV TRANS 4-SO,0.52,,,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP291(GB-TP,SE/TLP291(GB-TPSECT-ND/4562949
U27,TLP293,Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm,,TLP293(GB-TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GB-TPL,"TLP293(GB-TPL,E",OPTOISOLATOR 3.75KV TRANS 4-SO,0.52,,,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP291(GB-TP,SE/TLP291(GB-TPSECT-ND/4562949
U9,TLP293,Housings_SSOP:SOP-4_4.4x2.8mm_Pitch1.27mm,,TLP293(GB-TPLECT-ND,http://www.digikey.com/product-detail/en/toshiba-semiconductor-and-storage/TLP293(GB-TPL,"TLP293(GB-TPL,E",OPTOISOLATOR 3.75KV TRANS 4-SO,0.52,,,,
U3,MCP6004,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,MCP6004T-I/SLCT-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP6004T-I-SL/MCP6004T-I-SLCT-ND/5013527,MCP6004T-I/SL,IC OPAMP GP RRO 1MHZ 14-SOIC,0.45,,,,
U17,MCP6004,Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21733j.pdf,MCP6004T-I/SLCT-ND,http://www.digikey.com/product-detail/en/microchip-technology/MCP6004T-I-SL/MCP6004T-I-SLCT-ND/5013527,MCP6004T-I/SL,IC OPAMP GP RRO 1MHZ 14-SOIC,0.45,,,,
C5,10p,Capacitors_SMD:C_0805_HandSoldering,,399-1108-1-ND,http://www.digikey.com/product-detail/en/kemet/C0805C100J5GACTU/399-1108-1-ND/411383,C0805C100J5GACTU,CAP CER 10PF 50V NP0 0805,0.1,,,,
